co_reg_geo,no_reg_geo,ano,variavel,saude_categoria,saude_subcategoria,valor
1.0,Norte,1996,Neonatal,Mortalidade infantil,Taxa,24.903122151416643
1.0,Norte,1997,Neonatal,Mortalidade infantil,Taxa,23.95782864008992
1.0,Norte,1998,Neonatal,Mortalidade infantil,Taxa,25.280476998633283
1.0,Norte,1999,Neonatal,Mortalidade infantil,Taxa,24.625826967103627
1.0,Norte,2000,Neonatal,Mortalidade infantil,Taxa,25.0904687865487
1.0,Norte,2001,Neonatal,Mortalidade infantil,Taxa,23.274145924352343
1.0,Norte,2002,Neonatal,Mortalidade infantil,Taxa,21.73581046984144
1.0,Norte,2003,Neonatal,Mortalidade infantil,Taxa,21.40780830937736
1.0,Norte,2004,Neonatal,Mortalidade infantil,Taxa,20.667279126339217
1.0,Norte,2005,Neonatal,Mortalidade infantil,Taxa,19.5993114356313
1.0,Norte,2006,Neonatal,Mortalidade infantil,Taxa,19.52483991773047
1.0,Norte,2007,Neonatal,Mortalidade infantil,Taxa,18.48864543813119
1.0,Norte,2008,Neonatal,Mortalidade infantil,Taxa,17.611910632985296
1.0,Norte,2009,Neonatal,Mortalidade infantil,Taxa,17.92254269034455
1.0,Norte,2010,Neonatal,Mortalidade infantil,Taxa,17.247456122602163
1.0,Norte,2011,Neonatal,Mortalidade infantil,Taxa,16.23292801478908
1.0,Norte,2012,Neonatal,Mortalidade infantil,Taxa,16.580462099716254
1.0,Norte,2013,Neonatal,Mortalidade infantil,Taxa,16.48088562016395
1.0,Norte,2014,Neonatal,Mortalidade infantil,Taxa,15.711168172294379
1.0,Norte,2015,Neonatal,Mortalidade infantil,Taxa,15.187396392915456
1.0,Norte,2016,Neonatal,Mortalidade infantil,Taxa,15.510883632603422
1.0,Norte,2017,Neonatal,Mortalidade infantil,Taxa,15.424616703232036
1.0,Norte,2018,Neonatal,Mortalidade infantil,Taxa,15.346398185622816
1.0,Norte,2019,Neonatal,Mortalidade infantil,Taxa,15.122921554626135
1.0,Norte,2020,Neonatal,Mortalidade infantil,Taxa,14.540752896712915
1.0,Norte,2021,Neonatal,Mortalidade infantil,Taxa,15.005074960725622
1.0,Norte,2022,Neonatal,Mortalidade infantil,Taxa,15.105928246840827
2.0,Nordeste,1996,Neonatal,Mortalidade infantil,Taxa,29.536566996417154
2.0,Nordeste,1997,Neonatal,Mortalidade infantil,Taxa,26.27810362268521
2.0,Nordeste,1998,Neonatal,Mortalidade infantil,Taxa,27.213223772911125
2.0,Nordeste,1999,Neonatal,Mortalidade infantil,Taxa,25.71412343478299
2.0,Nordeste,2000,Neonatal,Mortalidade infantil,Taxa,26.481906999645826
2.0,Nordeste,2001,Neonatal,Mortalidade infantil,Taxa,23.912556613075964
2.0,Nordeste,2002,Neonatal,Mortalidade infantil,Taxa,23.74378439890849
2.0,Nordeste,2003,Neonatal,Mortalidade infantil,Taxa,23.173806234511826
2.0,Nordeste,2004,Neonatal,Mortalidade infantil,Taxa,21.298344816227935
2.0,Nordeste,2005,Neonatal,Mortalidade infantil,Taxa,20.393888320109667
2.0,Nordeste,2006,Neonatal,Mortalidade infantil,Taxa,19.256040193574705
2.0,Nordeste,2007,Neonatal,Mortalidade infantil,Taxa,18.36469425942535
2.0,Nordeste,2008,Neonatal,Mortalidade infantil,Taxa,17.12883949438683
2.0,Nordeste,2009,Neonatal,Mortalidade infantil,Taxa,17.00154202182874
2.0,Nordeste,2010,Neonatal,Mortalidade infantil,Taxa,15.680726615626039
2.0,Nordeste,2011,Neonatal,Mortalidade infantil,Taxa,15.281949321037269
2.0,Nordeste,2012,Neonatal,Mortalidade infantil,Taxa,15.04387898120536
2.0,Nordeste,2013,Neonatal,Mortalidade infantil,Taxa,15.479793245668068
2.0,Nordeste,2014,Neonatal,Mortalidade infantil,Taxa,14.537444933920705
2.0,Nordeste,2015,Neonatal,Mortalidade infantil,Taxa,13.971364904876568
2.0,Nordeste,2016,Neonatal,Mortalidade infantil,Taxa,14.45135714635626
2.0,Nordeste,2017,Neonatal,Mortalidade infantil,Taxa,14.057072521965324
2.0,Nordeste,2018,Neonatal,Mortalidade infantil,Taxa,13.517356754496028
2.0,Nordeste,2019,Neonatal,Mortalidade infantil,Taxa,13.703393250752848
2.0,Nordeste,2020,Neonatal,Mortalidade infantil,Taxa,12.970229197807672
2.0,Nordeste,2021,Neonatal,Mortalidade infantil,Taxa,13.122753154395006
2.0,Nordeste,2022,Neonatal,Mortalidade infantil,Taxa,14.093585810501075
3.0,Sudeste,1996,Neonatal,Mortalidade infantil,Taxa,26.632264434635623
3.0,Sudeste,1997,Neonatal,Mortalidade infantil,Taxa,24.59699276520562
3.0,Sudeste,1998,Neonatal,Mortalidade infantil,Taxa,21.110810692814802
3.0,Sudeste,1999,Neonatal,Mortalidade infantil,Taxa,19.27483288829419
3.0,Sudeste,2000,Neonatal,Mortalidade infantil,Taxa,18.668922513942743
3.0,Sudeste,2001,Neonatal,Mortalidade infantil,Taxa,17.445323871389295
3.0,Sudeste,2002,Neonatal,Mortalidade infantil,Taxa,16.412755361589333
3.0,Sudeste,2003,Neonatal,Mortalidade infantil,Taxa,16.25137262505175
3.0,Sudeste,2004,Neonatal,Mortalidade infantil,Taxa,15.564311252295543
3.0,Sudeste,2005,Neonatal,Mortalidade infantil,Taxa,14.741761040960334
3.0,Sudeste,2006,Neonatal,Mortalidade infantil,Taxa,14.526130095357624
3.0,Sudeste,2007,Neonatal,Mortalidade infantil,Taxa,13.821584971264036
3.0,Sudeste,2008,Neonatal,Mortalidade infantil,Taxa,13.511947466708893
3.0,Sudeste,2009,Neonatal,Mortalidade infantil,Taxa,13.172437146576533
3.0,Sudeste,2010,Neonatal,Mortalidade infantil,Taxa,12.561488012118268
3.0,Sudeste,2011,Neonatal,Mortalidade infantil,Taxa,12.390042850610408
3.0,Sudeste,2012,Neonatal,Mortalidade infantil,Taxa,12.241877926453316
3.0,Sudeste,2013,Neonatal,Mortalidade infantil,Taxa,11.979502050753423
3.0,Sudeste,2014,Neonatal,Mortalidade infantil,Taxa,11.67505953342029
3.0,Sudeste,2015,Neonatal,Mortalidade infantil,Taxa,11.324726307271499
3.0,Sudeste,2016,Neonatal,Mortalidade infantil,Taxa,11.698458269142588
3.0,Sudeste,2017,Neonatal,Mortalidade infantil,Taxa,11.308940887212719
3.0,Sudeste,2018,Neonatal,Mortalidade infantil,Taxa,11.169078452946192
3.0,Sudeste,2019,Neonatal,Mortalidade infantil,Taxa,11.520430245957153
3.0,Sudeste,2020,Neonatal,Mortalidade infantil,Taxa,10.520724554090226
3.0,Sudeste,2021,Neonatal,Mortalidade infantil,Taxa,10.936543683782066
3.0,Sudeste,2022,Neonatal,Mortalidade infantil,Taxa,11.635420101032887
4.0,Sul,1996,Neonatal,Mortalidade infantil,Taxa,19.15932834807958
4.0,Sul,1997,Neonatal,Mortalidade infantil,Taxa,17.54117911695676
4.0,Sul,1998,Neonatal,Mortalidade infantil,Taxa,18.72172081239285
4.0,Sul,1999,Neonatal,Mortalidade infantil,Taxa,17.168942393148583
4.0,Sul,2000,Neonatal,Mortalidade infantil,Taxa,17.021833267185354
4.0,Sul,2001,Neonatal,Mortalidade infantil,Taxa,16.395925540380375
4.0,Sul,2002,Neonatal,Mortalidade infantil,Taxa,16.042214539688167
4.0,Sul,2003,Neonatal,Mortalidade infantil,Taxa,15.77981651376147
4.0,Sul,2004,Neonatal,Mortalidade infantil,Taxa,14.975158618125919
4.0,Sul,2005,Neonatal,Mortalidade infantil,Taxa,13.787053023791977
4.0,Sul,2006,Neonatal,Mortalidade infantil,Taxa,13.340825511393914
4.0,Sul,2007,Neonatal,Mortalidade infantil,Taxa,12.94170171251564
4.0,Sul,2008,Neonatal,Mortalidade infantil,Taxa,12.648823543662534
4.0,Sul,2009,Neonatal,Mortalidade infantil,Taxa,11.876361373301526
4.0,Sul,2010,Neonatal,Mortalidade infantil,Taxa,11.40833457239021
4.0,Sul,2011,Neonatal,Mortalidade infantil,Taxa,11.624124223405353
4.0,Sul,2012,Neonatal,Mortalidade infantil,Taxa,11.10156213154185
4.0,Sul,2013,Neonatal,Mortalidade infantil,Taxa,10.698144362930671
4.0,Sul,2014,Neonatal,Mortalidade infantil,Taxa,10.752606807209771
4.0,Sul,2015,Neonatal,Mortalidade infantil,Taxa,10.390402652701283
4.0,Sul,2016,Neonatal,Mortalidade infantil,Taxa,9.959417034635901
4.0,Sul,2017,Neonatal,Mortalidade infantil,Taxa,10.145773181356324
4.0,Sul,2018,Neonatal,Mortalidade infantil,Taxa,9.9404582968092
4.0,Sul,2019,Neonatal,Mortalidade infantil,Taxa,10.238359790415362
4.0,Sul,2020,Neonatal,Mortalidade infantil,Taxa,9.075900989201198
4.0,Sul,2021,Neonatal,Mortalidade infantil,Taxa,9.445581820837042
4.0,Sul,2022,Neonatal,Mortalidade infantil,Taxa,10.231223994596713
5.0,Centro-Oeste,1996,Neonatal,Mortalidade infantil,Taxa,19.338157099067914
5.0,Centro-Oeste,1997,Neonatal,Mortalidade infantil,Taxa,19.36795813941954
5.0,Centro-Oeste,1998,Neonatal,Mortalidade infantil,Taxa,19.551868331498557
5.0,Centro-Oeste,1999,Neonatal,Mortalidade infantil,Taxa,19.251958079587286
5.0,Centro-Oeste,2000,Neonatal,Mortalidade infantil,Taxa,18.349412346103435
5.0,Centro-Oeste,2001,Neonatal,Mortalidade infantil,Taxa,18.10430081533086
5.0,Centro-Oeste,2002,Neonatal,Mortalidade infantil,Taxa,17.328878970742938
5.0,Centro-Oeste,2003,Neonatal,Mortalidade infantil,Taxa,16.675148806231054
5.0,Centro-Oeste,2004,Neonatal,Mortalidade infantil,Taxa,17.186710569870556
5.0,Centro-Oeste,2005,Neonatal,Mortalidade infantil,Taxa,16.21654338173942
5.0,Centro-Oeste,2006,Neonatal,Mortalidade infantil,Taxa,15.459778411346493
5.0,Centro-Oeste,2007,Neonatal,Mortalidade infantil,Taxa,14.814642757595466
5.0,Centro-Oeste,2008,Neonatal,Mortalidade infantil,Taxa,14.47511430085602
5.0,Centro-Oeste,2009,Neonatal,Mortalidade infantil,Taxa,14.607027360924386
5.0,Centro-Oeste,2010,Neonatal,Mortalidade infantil,Taxa,13.786981176513216
5.0,Centro-Oeste,2011,Neonatal,Mortalidade infantil,Taxa,13.461207448240554
5.0,Centro-Oeste,2012,Neonatal,Mortalidade infantil,Taxa,13.592207713252185
5.0,Centro-Oeste,2013,Neonatal,Mortalidade infantil,Taxa,13.622399195524252
5.0,Centro-Oeste,2014,Neonatal,Mortalidade infantil,Taxa,13.02045079893584
5.0,Centro-Oeste,2015,Neonatal,Mortalidade infantil,Taxa,12.241073628179912
5.0,Centro-Oeste,2016,Neonatal,Mortalidade infantil,Taxa,12.675312731514992
5.0,Centro-Oeste,2017,Neonatal,Mortalidade infantil,Taxa,11.65477292651553
5.0,Centro-Oeste,2018,Neonatal,Mortalidade infantil,Taxa,11.789049192856648
5.0,Centro-Oeste,2019,Neonatal,Mortalidade infantil,Taxa,11.838344788680983
5.0,Centro-Oeste,2020,Neonatal,Mortalidade infantil,Taxa,11.172626847279954
5.0,Centro-Oeste,2021,Neonatal,Mortalidade infantil,Taxa,11.720012226540327
5.0,Centro-Oeste,2022,Neonatal,Mortalidade infantil,Taxa,12.557561060416267
